2024-02-08 15:57:25,508: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-02-08 15:57:26,975: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-02-08 15:57:26,976: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-02-08 15:57:26,979: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-02-08 15:57:26,980: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-02-08 15:57:26,982: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-08 15:57:26[0m
2024-02-08 15:57:27,002: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:27,016: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,322: root: INFO: [32mNew market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status unprocessed was submitted.[0m
2024-02-08 15:57:29,339: root: INFO: [34mMLTrader : Trading iteration ended at 2024-02-08 15:57:29[0m
2024-02-08 15:57:29,339: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-08 15:57:29,339: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,341: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,343: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-02-08 15:57:29,344: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-02-08 15:57:29,344: root: INFO: [32mFilled Transaction: buy 106.0 of SPY at 469.48999023 USD per share[0m
2024-02-08 15:57:29,345: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was filled
2024-02-08 15:57:29,355: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-02-08 15:57:29,361: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-02-08 15:57:29,362: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-02-08 15:57:29,368: root: INFO: [34mMLTrader : The market is not currently open, skipping this trading iteration[0m
2024-02-08 15:57:29,369: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-08 15:57:29,369: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,372: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,373: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-08 15:57:29,373: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,378: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,385: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-08 15:57:29,385: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,386: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,389: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-08 15:57:29,389: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,391: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,398: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-02-08 15:57:29,399: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-02-08 15:57:29,400: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,402: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-08 15:57:29,402: root: INFO: Getting historical prices for SPY, 1 bars, 
